Time,pH ,Salinity ,Temp
2020-02-01,7.5202,7.558366,9
2020-02-02,7.509848,7.548205,7
2020-02-03,7.48345,7.523276,7
2020-02-04,7.517573,7.556628,8
2020-02-05,7.510384,7.550554,6
2020-02-06,7.522723,7.567212,6
2020-02-07,7.533894,7.582037,6
2020-02-08,7.559963,7.613912,8
2020-02-09,7.56565,7.620881,6
2020-02-10,7.557937,7.610517,8
2020-02-11,7.563287,7.616875,9
2020-02-12,7.566443,7.619282,7
2020-02-13,7.564412,7.617816,9
2020-02-14,7.561054,7.614722,8
2020-02-15,7.545051,7.598788,9
2020-02-16,7.527773,7.581664,8
2020-02-17,7.538773,7.591266,7
2020-02-18,7.533947,7.585794,6
2020-02-19,7.5437,7.594844,8
2020-02-20,7.535801,7.587026,7
2020-02-21,7.53805,7.589615,9
2020-02-22,7.537273,7.589869,7
2020-02-23,7.537193,7.590566,7
2020-02-24,7.519766,7.574996,9
2020-02-25,7.541011,7.597149,9
2020-02-26,7.535049,7.588537,6
2020-02-27,7.532495,7.586086,8
2020-02-28,7.529379,7.583438,9
2020-02-29,7.489477,7.545612,6
2020-03-01,7.474591,NaN,8
2020-03-02,7.47743,NaN,6
2020-03-03,7.427003,NaN,9
2020-03-04,7.399334,NaN,8
2020-03-05,7.403698,NaN,6
2020-03-06,7.430513,NaN,7
2020-03-07,7.446764,NaN,10
2020-03-08,7.458182,NaN,8
2020-03-09,7.462674,NaN,6
2020-03-10,7.46919,NaN,7
2020-03-11,7.511883,NaN,9
2020-03-12,7.578764,NaN,8
2020-03-13,7.481069,NaN,7
2020-03-14,7.425902,NaN,8
2020-03-15,7.379349,NaN,8
2020-03-16,7.367623,NaN,10
2020-03-17,7.384867,NaN,8
2020-03-18,7.349509,NaN,9
2020-03-19,7.295042,NaN,9
2020-03-20,7.276272,NaN,10
2020-03-21,7.315256,NaN,10
2020-03-22,7.444442,NaN,6
2020-03-23,7.518315,NaN,9
2020-03-24,7.361789,NaN,6
2020-03-25,7.364792,NaN,7
2020-03-26,7.238536,NaN,8
2020-03-27,7.195575,NaN,10
2020-03-28,7.275365,NaN,8
2020-03-29,7.146436,NaN,10
2020-03-30,7.150879,NaN,9
2020-03-31,7.234323,NaN,8
